Identifier,Domain,Term,Definition,Synonyms,GovernanceStatus,Source
55c70ca7-6659-4711-8df2-10d53713a661,Parties,Party,"An individual or organization associated with mining operations (e.g., partners, contractors, workers, laboratories, refineries, surveyors), with contact details and notes.",Person; Organization; Entity,Needs Validation,Gold Prospecting Narrative (Party Details section)
0c631183-3e59-47f8-b15a-37c17b0619c0,Parties,Land Parcel Party Role,"A role that a party plays with respect to a land parcel (e.g., prospector, partner, worker, stakeholder), used to manage permissions, responsibilities, and business relationships tied to the property.",Party role; Parcel role,Needs Validation,Gold Prospecting Narrative (Party Interest/Involvement section)
c466efae-9732-406e-b6cc-fb7562523a04,Parties,Laboratory,"A party that performs assay analysis on ore samples and returns assay reports used for decision-making (e.g., whether to file a claim or continue working a property).",Lab; Assay lab,Needs Validation,Gold Prospecting Narrative (Ore Samples section)
08eebe1e-ab2b-4816-aeee-6dcde659d396,Parties,Refinery,"A party that receives extracted material payloads and separates/purifies minerals, returning refined minerals while retaining a predetermined fee (often a percentage by weight) and possibly selling minerals on the market as agreed.",Mineral refinery; Refiner,Needs Validation,Gold Prospecting Narrative (Refinement section)
db0a7597-510a-4c21-92b7-95f31168448e,Parties,Surveyor,A party responsible for collecting ore samples; recorded to support follow-up and traceability regarding sample collection.,Sample collector; Field surveyor,Needs Validation,Gold Prospecting Narrative (Surveyor section)
dc433509-599b-4487-bd42-b3e68458b504,Mining Methods,Mining Type,A broad category of mining based on the nature of deposits. In this case study: placer mining and hard-rock mining.,Mining category,Needs Validation,Gold Prospecting Narrative (Types of Mining and Methods Used section)
2ba4988b-ac7d-4a37-a69e-8d3044913ccd,Mining Methods,Placer Mining,"Extraction of valuable minerals from loose, unconsolidated alluvial deposits found in streambeds, riverbeds, and ancient sediment layers.",Alluvial mining,Needs Validation,Gold Prospecting Narrative (Types of Mining and Methods Used section)
e5c04287-8741-4f1e-baa3-2bd491868318,Mining Methods,Hard-Rock Mining,"Extraction of minerals directly from solid rock formations by breaking, blasting, and processing parent rock to release embedded minerals.",Lode mining,Needs Validation,Gold Prospecting Narrative (Types of Mining and Methods Used section)
94ff0844-7629-422a-a5cc-1de825c2f490,Mining Methods,Mining Method,"A specific technique used within a mining type to extract minerals (e.g., panning, sluicing, high-banking, dry-washing, suction dredging; drilling, blasting, cut-and-fill, block caving).",Technique; Method option,In Review,Gold Prospecting Narrative (Mining Methods/Techniques section)
865baa5d-d72d-44a1-81ab-eaf0df04dea1,Mining Methods,Mining Method Legality,"The legal restriction status of a mining method by jurisdiction, typically categorized as legal, restricted, or banned.",Legal status; Regulatory status,Needs Validation,Gold Prospecting Narrative (Mining Methods/Techniques section)
ee90f309-f09e-4d2a-bcc8-2d52ef3325ec,Ore Samples & Assays,Ore Sample,"A physical sample of ore deposit material (often dirt, gravel, sand) collected from a land parcel before mining; samples may be sent to laboratories for assay analysis.",Sample; Ore deposit sample,In Review,Gold Prospecting Narrative (About the Minerals and Ore Samples section)
2fa4c462-63a8-4697-92de-e2aa4d29d581,Ore Samples & Assays,Assay,A laboratory analysis of an ore sample to determine the presence and relative quantities of certain minerals; results are returned in an assay report.,Assay test; Lab analysis,Needs Validation,Gold Prospecting Narrative (Sufficient Expected Minerals? section)
cd22aca3-ad6f-43e6-9439-46cd7be0fe28,Ore Samples & Assays,Assay Order,A request sent to a laboratory to perform an assay on an ore sample; may be repeated for comparative reports and includes associated requests and returned reports.,Lab request; Assay request,Needs Validation,Gold Prospecting Narrative (Documents section under Ore Samples)
9acb7104-5468-4852-8af2-f5975302ed72,Ore Samples & Assays,Assay Report,"A document produced by a laboratory in response to an assay order, used to support decisions such as filing a claim or continuing work on a property.",Lab report; Assay results report,Needs Validation,Gold Prospecting Narrative (Sufficient Expected Minerals? section)
2bd4e17a-468d-4ccf-8b0d-bd1cd182f3a8,Ore Samples & Assays,Sufficient Mineral Interest,"A record of whether minerals expected/found on a property are present in sufficient quantity and accessibility to warrant mining efforts, based on assay results.",Sufficient minerals; Mineral sufficiency,In Review,Gold Prospecting Narrative (Sufficient Expected Minerals? section)
30d9d2a6-f31e-4e6c-9496-0062d637ad53,Minerals & Market,Mineral,"A naturally occurring substance of value tracked by the company; gold is the primary mineral of interest, with other minerals (e.g., silver, copper, platinum, uranium) possibly present.",Commodity mineral,Needs Validation,Gold Prospecting Narrative (About the Minerals and Ore Samples section)
c25433e6-a106-4d8c-b2aa-c0421799f1c6,Minerals & Market,Hazardous Mineral,A mineral requiring special precautions and typically avoided by the company (example given: uranium).,Dangerous mineral,Needs Validation,Gold Prospecting Narrative (About the Minerals and Ore Samples section)
49b85872-927f-4e2a-a0af-197b61a19ad1,Mining Production,Site Material Payload,"A record of extracted material shipped from a land parcel, capturing logistics such as container type/identifier, weights, moisture, shipment status, approvals, and refinery receiving details; may be linked to an ore sample for comparison.",Payload; Shipment payload,In Review,Gold Prospecting Narrative (Payloads section)
e70d0943-57f0-4a55-bb5c-b38dd4320877,Mining Production,Shipment Approval,"An approval action by a party associated with a site material payload for shipment, supporting transportation and accountability.",Payload approval; Shipping approval,Needs Validation,Gold Prospecting Narrative (Payloads section)
831728cf-bd8f-4b18-ac3e-06356742dcc6,Mining Production,Refinement,The process where extracted material is sent to a refinery to separate and purify minerals; outputs include refined minerals and refinery reports/invoices.,Refining; Mineral purification,Needs Validation,Gold Prospecting Narrative (Refinement and Documents sections)
e25afe6c-9318-4542-8ad7-2d21a551ece0,Mining Production,Refined Mineral,"A purified mineral output returned from the refinery to the company, after the refiner retains a predetermined fee (often by weight).",Refined output; Purified mineral,Needs Validation,Gold Prospecting Narrative (Refinement section)
f2b2c380-a653-47c5-98ca-4a655469beef,Mining Production,Mining Production,"Operational activities capturing extraction, shipment, refining, and tracking of refined quantities per mineral per land parcel over time (e.g., monthly and year-to-date totals).",Production; Extraction operations,Needs Validation,Gold Prospecting Narrative (Mining Data section)
6151fbbd-b9b5-4bfe-95bc-2e15c4c3eb68,Compensation,Production Compensation,"Payments to parties based on mineral production, typically calculated as a percentage of minerals extracted/refined from a specific parcel during a period, valued using spot price at time of payment.",Production-based payment; Royalty,In Review,Gold Prospecting Narrative (Production Compensation Arrangements section)
1e792408-46ce-4aa8-8170-1ae093f3dedc,Compensation,Party Mineral Contract Term,Contractual terms specifying a party’s compensation rate and effective dates for a role tied to a specific parcel and mineral extraction arrangement; must be versioned over time as rates change.,Compensation contract term; Royalty term,Needs Validation,Gold Prospecting Narrative (Documents section under Production Compensation)
ba12be11-75a5-4e8b-9fee-2bcb97a7634b,Compensation,Spot Price,The current market price of a mineral used to compute the dollar value of production compensation at the time of payment.,Market price; Spot market price,Needs Validation,Gold Prospecting Narrative (Compensation section)
94b4132d-b8a7-4db8-952f-b3c25e71d684,Assets,Equipment,"Mining equipment, machinery, and tools located at or assigned to specific properties, tracked for inventory, maintenance, utilization, and availability even when not actively used in production.",Assets; Machinery; Tools,Needs Validation,Gold Prospecting Narrative (Equipment section)
7fca46f1-c89a-40cb-aacb-a262b8ab10e9,Documentation,Related Document,"A supporting artifact (typically PDF and/or electronic data) linked to business objects (e.g., parcels, parties, assay orders, payloads) such as contracts, permits, photographs, invoices, reports, and correspondence.",Supporting document; Attachment,Needs Validation,Gold Prospecting Narrative (Documents sections across domains)
